student_name,date_of_birth,state,mobile_number,email,gpa
"""John Davis""",06-02-2005 00:00:00,OH,13858199245,neha.gupta@school.edu,3.43
Michael Wilson,'08/13/1997',TEXAS,17755292104,,
Sophia Brown,'06/01/1996',CA,+12356892801,aaravbhoj@school.edu,2.62
Raj Gupta,07-20-2000 00:00:00,MI,8974804213,aaravbhoj@outlook.com,
'Michael Davis','02-24-2003 00:00:00',NH,15857181464,aarav.gupta@outlook.com,3.39
"""Emily Johnson""",04212002,HI,794-904-3418,,
'Aarav Davis',05/01/1996,SC,768-863-7150,,3.34
Emily Bhoj,"""05-18-2000 00:00:00""",SC,3308592457,khushidavis@outlook.com,3.67
John Johnson,'01/10/1997',NJ,919-421-3015,khushi.smith@school.edu,
Khushi Johnson,10-28-2000 00:00:00,WA,811-420-9563,emily_patel@yahoo.com,3.91
'Neha Brown','030603',tx,366-490-3675,rajjohnson@school.edu,3.3
"""Neha Patel""",110103,TX,12747112232,aarav_johnson@gmail.com,2.2
"""Michael Smith""",11-26-2000 00:00:00,HI,+17663823156,michael_patel@outlook.com,2.95
"""Chris Patel""",'05-13-2001 00:00:00',MN,+12966178433,john_kumar@school.edu,3.69
'Emily Smith',08241995,WA,3997380182,,2.38
"""Michael Wilson""",04152003,OH,5090885943,aarav.brown@school.edu,2.5
'John Kumar','04-17-1998 00:00:00',fl,12527909147,john_bhoj@yahoo.com,
'Ananya Johnson',10/07/2000,CA,6580386377,chris.kumar@outlook.com,3.31
'Sophia Davis','11/28/2004',TEXAS,13861327917,,2.99
Aarav Brown,'062699',HI,13147487660,neha_bhoj@outlook.com,
'Emily Gupta','09/25/2000',NY,984-369-5052,,2.08
"""Michael Bhoj""",072895,OH,17484815168,,3.89
"""Michael Johnson""",'06171995',CO,12850733732,johnbhoj@yahoo.com,
"""Neha Wilson""","""02/04/1998""",HI,14510745572,ananyajohnson@yahoo.com,2.38
Raj Wilson,"""01112000""",Florida,8793362077,chris.smith@outlook.com,
'Michael Gupta','01231997',IL,706-813-1145,khushi.wilson@school.edu,
"""Aarav Kumar""","""12/28/2005""",NY,12393982645,khushi_bhoj@yahoo.com,
Khushi Wilson,07132005,tx,2154459322,emily_davis@yahoo.com,3.8
"""Ananya Patel""","""052201""",TEXAS,+14802132892,,
'John Wilson',06012003,ca,212-946-1222,sophia.smith@yahoo.com,
"""Aarav Kumar""","""08-17-1995 00:00:00""",California,6268529625,,2.45
Michael Smith,"""07081997""",AL,11648982313,raj.brown@school.edu,
John Bhoj,09/21/2003,nc,+17776783557,michael_brown@outlook.com,
'Neha Brown',08/02/2005,WA,+12651961479,emily_bhoj@outlook.com,3.92
Sophia Brown,'03/08/2004',New York,+12041518442,,2.29
Khushi Davis,06072002,NEW YORK,9643525901,,3.49
Chris Kumar,'12241999',New York,16271277159,chris.davis@yahoo.com,
"""Aarav Wilson""",100702,fl,12159295684,sophia.bhoj@school.edu,2.33
Neha Bhoj,"""03/09/2001""",Texas,11196196740,,
Chris Johnson,"""12/28/1998""",Florida,8714058899,khushi.kumar@yahoo.com,2.16
John Johnson,"""05/03/2002""",,14373060563,michaelbhoj@outlook.com,3.99
John Patel,'02031996',DC,660-988-2428,sophia.brown@gmail.com,
Ananya Kumar,05/13/2005,WA,15848950368,,2.9
"""Khushi Gupta""",11/13/2003,New York,+12614141871,ananya_smith@outlook.com,
'John Smith',"""031996""",MI,166-424-6610,ananyapatel@yahoo.com,2.06
Michael Bhoj,'102899',IL,988-123-7929,johnkumar@outlook.com,3.05
"""Raj Patel""",021005,NEW YORK,7170940238,chris.gupta@gmail.com,3.45
'Sophia Brown',012005,CO,4681934042,neha.smith@yahoo.com,2.38
"""Chris Patel""",05/09/1997,CA,4726992894,ananya_davis@school.edu,3.08
Sophia Smith,"""03/09/1999""",FLORIDA,490-391-8167,michael_smith@gmail.com,3.27
'Raj Davis',"""091803""",nc,6430982163,khushi.davis@gmail.com,3.58
Neha Brown,10/28/1999,fl,+18027741130,johnpatel@gmail.com,3.57
'Raj Wilson','08/13/1998',ca,+19709413415,sophia.patel@yahoo.com,2.59
"""Michael Kumar""",06/26/2005,HI,213-570-3010,,3.69
"""Michael Smith""","""102995""",Florida,16067230051,ananyagupta@gmail.com,2.32
'Emily Gupta','04/05/1995',MN,11943866804,emily_smith@school.edu,
"""Chris Davis""","""03-21-1997 00:00:00""",DC,19086810658,neha_davis@yahoo.com,2.75
'John Sharma',"""05-19-1995 00:00:00""",VA,507-130-2878,sophia.brown@school.edu,2.24
Sophia Johnson,01/29/2005,IL,8070676290,sophia.johnson@gmail.com,
'Michael Smith',"""12-01-1996 00:00:00""",ca,391-118-1076,khushi_smith@gmail.com,
Raj Brown,"""03-29-2001 00:00:00""",DC,813-565-9082,michael.johnson@gmail.com,
Chris Bhoj,'11291997',DC,4972236629,,2.3
Michael Sharma,091297,CO,+11969934690,john.sharma@yahoo.com,
'Emily Sharma',05-04-1997 00:00:00,NC,771-257-9265,aaravkumar@gmail.com,3.75
'John Johnson','03/02/2000',nc,+16806610347,chrisdavis@school.edu,2.11
Khushi Davis,04/19/1998,WA,+13925562184,,3.79
'John Wilson',"""071697""",Texas,607-310-3802,nehasharma@school.edu,3.71
'Sophia Smith','092298',CA,11330614006,neha_bhoj@yahoo.com,2.95
Neha Kumar,"""11/16/1996""",MI,16859578069,neha.sharma@school.edu,3.37
Aarav Davis,"""08-03-1996 00:00:00""",FLORIDA,9441556624,chris_patel@school.edu,
'Raj Kumar',"""07-01-2001 00:00:00""",NC,3944314782,chriskumar@yahoo.com,
'Khushi Sharma','03051998',DC,12079898502,,3.47
'Raj Johnson','06-18-2005 00:00:00',FL,+19130517572,sophia.gupta@yahoo.com,2.5
'Raj Kumar',051001,FLORIDA,7131792407,ananyabhoj@gmail.com,3.91
Neha Kumar,03/09/1999,TEXAS,154-873-7433,,2.54
'Sophia Gupta',040598,NY,13127317293,khushisharma@yahoo.com,2.0
'John Wilson',04161997,NJ,+16583130018,emilypatel@yahoo.com,2.58
John Gupta,"""052299""",Florida,933-535-3427,khushi_gupta@gmail.com,3.82
'Ananya Sharma',10-10-1996 00:00:00,IL,+11269576948,raj.davis@outlook.com,2.94
Aarav Gupta,'05-22-2002 00:00:00',CO,+18859301687,,
Sophia Johnson,'03/20/2003',SC,845-493-7882,john_sharma@gmail.com,2.64
'Ananya Davis','02/23/2002',WA,548-795-5687,john.johnson@yahoo.com,
Neha Wilson,'082602',IL,4442828156,michaelsmith@gmail.com,2.25
'John Sharma','09-29-2001 00:00:00',TEXAS,948-357-7396,emilywilson@school.edu,2.11
John Gupta,'12131997',Florida,367-305-6481,johndavis@gmail.com,3.78
'Raj Bhoj',07/27/2000,DC,900-970-4731,khushi_davis@yahoo.com,2.86
'John Sharma',11-26-2001 00:00:00,CALIFORNIA,343-337-2507,emily.bhoj@gmail.com,2.25
Sophia Brown,04/12/1998,NY,16241094005,rajjohnson@school.edu,2.64
Khushi Brown,'122201',IL,+16285111559,ananya.smith@outlook.com,2.54
"""Michael Kumar""",021798,FL,19814388068,neha_brown@yahoo.com,2.68
Michael Davis,06092003,TEXAS,979-647-8594,raj.smith@school.edu,2.79
'Raj Brown','10231997',CO,956-370-3929,ananya.wilson@outlook.com,
"""Neha Wilson""","""01-06-1997 00:00:00""",WA,11165363881,,2.12
'Raj Kumar',"""06-22-2004 00:00:00""",TX,11332646182,michaelsmith@outlook.com,
Neha Brown,04-24-2002 00:00:00,ca,5037010859,khushi_patel@gmail.com,3.91
Neha Wilson,"""032603""",CALIFORNIA,+17529793398,sophia_johnson@school.edu,3.5
Ananya Davis,09022000,OH,19200233904,sophia.brown@gmail.com,2.82
Neha Sharma,"""02/02/2005""",NY,528-369-8698,,
Sophia Patel,'12-26-2002 00:00:00',MI,705-723-2765,sophia_sharma@school.edu,3.02
'Raj Smith','07-13-2000 00:00:00',,11615024545,neha.brown@school.edu,
'Ananya Sharma',"""11-24-1996 00:00:00""",HI,337-782-5565,chris.wilson@gmail.com,
Emily Kumar,031803,TEXAS,12129819217,john.brown@yahoo.com,2.65
Sophia Kumar,07152002,California,+12363768949,aarav.sharma@outlook.com,2.57
'Chris Johnson',"""100395""",SC,16792638620,raj_sharma@outlook.com,
'John Johnson',11-17-2004 00:00:00,TX,19402311231,aarav_sharma@outlook.com,
Chris Johnson,'09-07-1995 00:00:00',CO,521-500-8240,michaeljohnson@yahoo.com,3.07
Neha Gupta,"""03231995""",MI,+13812909739,aarav_brown@outlook.com,2.43
Khushi Bhoj,"""081600""",TEXAS,4220862110,aarav.kumar@gmail.com,3.44
'Michael Bhoj','04/23/2004',fl,6592708750,raj_gupta@outlook.com,
Chris Kumar,12/24/2000,fl,+14069092303,ananya.gupta@school.edu,2.66
'John Wilson',"""091204""",fl,17414180352,khushibrown@outlook.com,3.74
Chris Sharma,04/24/2002,,668-979-2334,ananya.smith@outlook.com,3.25
Ananya Patel,'06241999',FLORIDA,+17539002241,sophiawilson@school.edu,
Aarav Patel,"""02-10-1995 00:00:00""",AL,1406795995,johnbrown@yahoo.com,2.69
Raj Kumar,07-21-2001 00:00:00,tx,11654646678,neha.smith@outlook.com,3.54
Neha Kumar,'112701',CA,16002856890,,
Michael Sharma,04/25/1996,FL,+17536878838,raj_patel@outlook.com,3.58
John Wilson,12301996,VA,+16115237403,chris.johnson@school.edu,
"""Chris Bhoj""",013198,tx,8010417786,chris.smith@school.edu,2.06
'Aarav Patel','05092004',CALIFORNIA,+14661785483,nehabrown@gmail.com,2.81
'Khushi Smith',"""07/16/2003""",NJ,15041950526,,2.93
'Neha Sharma','04182005',AX,290-425-1329,emilykumar@yahoo.com,
"""Khushi Davis""",07-29-1996 00:00:00,Texas,6856674089,aaravbhoj@outlook.com,3.14
Michael Brown,03/28/1998,Texas,+12109020054,sophiabrown@outlook.com,
"""John Brown""",092399,HI,4230009441,ananyagupta@outlook.com,3.46
Raj Brown,'07-02-1999 00:00:00',OH,+17103088340,neha.wilson@yahoo.com,2.26
"""John Kumar""",111898,New York,4684060593,,
'Khushi Sharma',021496,IL,+18865575432,aarav_davis@school.edu,
Neha Davis,'07062002',SC,+16850949950,,
"""John Brown""",09-09-1996 00:00:00,nc,15752083046,john.davis@yahoo.com,
Ananya Bhoj,070499,tx,9507189942,john.patel@school.edu,
Emily Wilson,'020700',TEXAS,16881083339,khushi_wilson@yahoo.com,
Sophia Kumar,01031999,SC,3651030484,,2.08
John Davis,"""10-15-1998 00:00:00""",tx,+14431481733,khushi_gupta@yahoo.com,
Emily Bhoj,01-30-1998 00:00:00,CO,12394184320,nehasharma@outlook.com,
'Ananya Wilson',10-27-1998 00:00:00,NC,974-860-9175,nehasmith@outlook.com,3.12
Chris Brown,'012400',NEW YORK,5250644256,aaravdavis@gmail.com,2.19
'Neha Kumar',101396,IL,7287462513,aarav_davis@gmail.com,
Aarav Smith,120405,OH,18439518982,aaravgupta@outlook.com,3.37
Neha Davis,07/14/2004,TX,+12386089888,ananyajohnson@outlook.com,
Chris Smith,'10/12/2004',AL,107-866-1529,nehawilson@gmail.com,2.88
Raj Davis,06-13-1995 00:00:00,NJ,+11445057469,sophia.patel@outlook.com,2.19
John Sharma,09-29-1997 00:00:00,MI,+17735501682,khushi_johnson@school.edu,2.61
Aarav Gupta,'12-07-1999 00:00:00',ny,11978900486,,2.73
